bill_type,bill_year,bill_congress,rouge_l,rouge_1,rouge_2,rouge_3,bleu_score
s,112,2551,0.372277228,0.491089109,0.477137177,0.459081836,0.723626242
s,112,2552,0.422429907,0.571962617,0.547842402,0.50094162,0.659821772
s,112,2553,0.521384929,0.66395112,0.584867076,0.496919918,0.637995818
s,112,2554,0.292923752,0.352166758,0.308621636,0.236393623,0.415519663
s,112,2555,0.383152174,0.461956522,0.433242507,0.338797814,0.623535559
s,112,2556,0.50877193,0.657894737,0.577092511,0.491150442,0.662215229
s,112,2557,0.517598344,0.658385093,0.582120582,0.505219207,0.652994206
s,112,2558,0.539007092,0.659574468,0.59430605,0.528571429,0.633891774
s,112,2559,0.29739777,0.427509294,0.343283582,0.280898876,0.664448702
s,112,255,0.547098719,0.646571213,0.623396226,0.556311413,0.424152955
s,112,2560,0.4,0.540425532,0.52991453,0.515021459,0.685233485
s,112,2561,0.403960396,0.558415842,0.548707753,0.53493014,0.661509618
s,112,2562,0.648854962,0.782442748,0.701149425,0.638461538,0.603557838
s,112,2563,0.383275261,0.512195122,0.5,0.484210526,0.648506007
s,112,2564,0.359621451,0.52681388,0.515822785,0.501587302,0.634105943
s,112,2565,0.61971831,0.692957746,0.628895184,0.60968661,0.620173673
s,112,2566,0.376130199,0.506329114,0.493647913,0.47723133,0.656464625
s,112,2567,0.353312303,0.52681388,0.515822785,0.501587302,0.639897466
s,112,2568,0.288499025,0.467836257,0.305283757,0.16502947,0.687958126
s,112,2569,0.288499025,0.467836257,0.305283757,0.16502947,0.687958126
s,112,2570,0.288499025,0.467836257,0.305283757,0.16502947,0.687958126
s,112,2571,0.288499025,0.467836257,0.305283757,0.16502947,0.687958126
s,112,2572,0.349745331,0.516129032,0.504258944,0.488888889,0.660904338
s,112,2573,0.56684492,0.748663102,0.597495528,0.502692998,0.618846381
s,112,2574,0.288499025,0.467836257,0.305283757,0.16502947,0.687958126
s,112,2575,0.448113208,0.537735849,0.431279621,0.357142857,0.694586669
s,112,2576,0.360594796,0.501858736,0.48880597,0.471910112,0.655996557
s,112,2577,0.344615385,0.498461538,0.429012346,0.362229102,0.636986135
s,112,2578,0.349544073,0.498480243,0.43597561,0.363914373,0.635058772
s,112,2579,0.18115942,0.188405797,0.047272727,0.018248175,0.429583449
s,112,2580,0.185714286,0.192857143,0.046594982,0.017985612,0.428263669
s,112,2581,0.364312268,0.501858736,0.48880597,0.471910112,0.674848156
s,112,2582,0.364312268,0.501858736,0.48880597,0.471910112,0.68079453
s,112,2583,0.353159851,0.501858736,0.48880597,0.471910112,0.668740305
s,112,2584,0.353159851,0.501858736,0.48880597,0.471910112,0.662460358
s,112,2585,0.638709677,0.683870968,0.637540453,0.626623377,0.615383014
s,112,2586,0.470989761,0.587030717,0.54109589,0.412371134,0.627629906
s,112,2587,0.425742574,0.564356436,0.552238806,0.535,0.703984821
s,112,2588,0.320261438,0.431372549,0.416393443,0.398026316,0.701687939
s,112,2589,0.418367347,0.525510204,0.374358974,0.288659794,0.693631908
s,112,258,0.369327074,0.559207094,0.501305483,0.363826451,0.409073114
s,112,2590,0.327552987,0.412331407,0.324951644,0.229126214,0.687354051
s,112,2591,0.372943327,0.504570384,0.491743119,0.475138122,0.671150219
s,112,2592,0.541300527,0.664323374,0.596119929,0.520353982,0.626284496
s,112,2593,0.420091324,0.593607306,0.555045872,0.516129032,0.667460413
s,112,2594,0.434367542,0.510739857,0.446043165,0.361445783,0.693631908
s,112,2595,0.42248062,0.581395349,0.544747082,0.50390625,0.674244805
s,112,2596,0.445544554,0.589108911,0.562189055,0.5,0.675600077
s,112,2597,0.419014085,0.556338028,0.551236749,0.539007092,0.684963974
s,112,2598,0.394250513,0.484599589,0.470103093,0.451345756,0.678444772
s,112,2599,0.307692308,0.426035503,0.352475248,0.286282306,0.707106781
s,112,259,0.828625235,0.866290019,0.839622642,0.814744802,0.516415168
s,112,25,0.350157729,0.594637224,0.447077409,0.276898734,0.464803931
s,112,2600,0.356223176,0.47639485,0.461206897,0.441558442,0.702279832
s,112,2601,0.441102757,0.591478697,0.579345088,0.562025316,0.691624611
s,112,2602,0.296442688,0.415019763,0.341269841,0.274900398,0.705417147
s,112,2603,0.317355372,0.383471074,0.374792703,0.356073211,0.681350384
s,112,2604,0.420131291,0.573304158,0.523076923,0.428256071,0.696140564
s,112,2605,0.417391304,0.573913043,0.524017467,0.429824561,0.694828323
s,112,2606,0.417391304,0.573913043,0.524017467,0.429824561,0.694828323
s,112,2607,0.417391304,0.573913043,0.524017467,0.429824561,0.700365242
s,112,2608,0.422110553,0.556113903,0.544537815,0.529510961,0.662613794
s,112,2609,0.424242424,0.518518519,0.442567568,0.345762712,0.669823289
s,112,260,0.429282161,0.756218905,0.585053381,0.392017106,0.441006412
s,112,2610,0.379844961,0.5,0.490272374,0.4765625,0.682561959
s,112,2611,0.415441176,0.5625,0.549815498,0.533333333,0.686589048
s,112,2612,0.573216521,0.658322904,0.6097867,0.555974843,0.624824275
s,112,2613,0.427230047,0.582159624,0.570754717,0.55450237,0.695415039
s,112,2614,0.412,0.568,0.558232932,0.544354839,0.68899395
s,112,2615,0.420047733,0.582338902,0.570743405,0.554216867,0.692148927
s,112,2616,0.324324324,0.420849421,0.317829457,0.229571984,0.695684925
s,112,2617,0.354485777,0.472647702,0.457142857,0.437086093,0.700466546
s,112,2618,0.349056604,0.459119497,0.400630915,0.306962025,0.649613622
s,112,2619,0.450892857,0.571428571,0.506726457,0.40990991,0.685932966
s,112,261,0.331811263,0.465753425,0.354198473,0.208269525,0.507079618
s,112,2620,0.340306834,0.605299861,0.358041958,0.207573633,0.60643049
s,112,2621,0.424942263,0.54965358,0.412993039,0.307692308,0.687297238
s,112,2622,0.388768898,0.475161987,0.464208243,0.440087146,0.70387051
s,112,2623,0.352739726,0.421232877,0.408934708,0.393103448,0.696824195
s,112,2624,0.43718593,0.608040201,0.525252525,0.436548223,0.687297238
s,112,2625,0.437346437,0.584766585,0.572839506,0.555831266,0.690167017
s,112,2626,0.394736842,0.543859649,0.480176211,0.39380531,0.683101942
s,112,2627,0.429594272,0.505966587,0.446043165,0.356626506,0.695246895
s,112,2628,0.527724665,0.657743786,0.587332054,0.512524085,0.640730375
s,112,2629,0.473856209,0.60130719,0.560655738,0.493421053,0.644034687
s,112,262,0.442839952,0.611311673,0.535585042,0.432889964,0.477928966
s,112,2630,0.441102757,0.581453634,0.574307305,0.556962025,0.686589048
s,112,2631,0.432304038,0.508313539,0.443914081,0.364508393,0.700466546
s,112,2632,0.41314554,0.577464789,0.570754717,0.55450237,0.689340963
s,112,2633,0.438554217,0.501204819,0.435835351,0.350364964,0.705417147
s,112,2634,0.438914027,0.57918552,0.568181818,0.552511416,0.677701503
s,112,2635,0.411255411,0.575757576,0.565217391,0.550218341,0.700365242
s,112,2636,0.545454545,0.65993266,0.597972973,0.53220339,0.645177434
s,112,2637,0.410958904,0.567514677,0.557956778,0.544378698,0.679983576
s,112,2638,0.34551495,0.428571429,0.416666667,0.401337793,0.682561959
s,112,2639,0.33807267,0.52764613,0.510301109,0.486486486,0.661619622
s,112,2640,0.443946188,0.668161435,0.5,0.457013575,0.624293105
s,112,2641,0.703071672,0.819112628,0.760273973,0.694158076,0.599947511
s,112,2642,0.38976378,0.492125984,0.47826087,0.46031746,0.675329675
s,112,2643,0.410788382,0.572614108,0.5625,0.548117155,0.665075837
s,112,2644,0.363636364,0.601731602,0.456521739,0.371179039,0.646622769
s,112,2645,0.416988417,0.567567568,0.558139535,0.544747082,0.660632864
s,112,2646,0.448780488,0.692682927,0.509803922,0.463054187,0.63140581
s,112,2647,0.443956044,0.549450549,0.463576159,0.337028825,0.686589048
s,112,2648,0.406320542,0.546275395,0.485260771,0.396355353,0.692148927
s,112,2649,0.407982262,0.545454545,0.489977728,0.398210291,0.683101942
s,112,264,0.402753873,0.616179002,0.532758621,0.409326425,0.461300413
s,112,2650,0.390852391,0.482328482,0.467640919,0.448637317,0.694586669
s,112,2651,0.364273205,0.511383538,0.499121265,0.48324515,0.655771785
s,112,2652,0.351304348,0.417391304,0.404886562,0.388791594,0.68225704
s,112,2653,0.354009077,0.532526475,0.522003035,0.508371385,0.637120138
s,112,2654,0.41697417,0.564575646,0.555555556,0.542750929,0.665437783
s,112,2655,0.541300527,0.664323374,0.596119929,0.520353982,0.631439536
s,112,2656,0.690391459,0.8113879,0.75,0.681003584,0.602661513
s,112,2657,0.557077626,0.660578387,0.604580153,0.54517611,0.620229286
s,112,2658,0.481421648,0.665589661,0.534846029,0.487804878,0.635848858
